#
#  Data file for Mapnet
# --------------------------
# written Ying
#
# T ^ num_cities
#       (total number of nodes)
#       num_cities - the number of cities (int)
#
# t ^ num_clouds
#       (total number of clouds)
#       num_clouds - the number of clouds (int)
#
# R ^ num_isps
#       (total number of isps)
#       num_isps - the number of isps
#
# C ^ city_index ^ lat ^ long ^ city_name
#       (city)
#       city_index - unque index for each city (int)
#       lat - latidtie (float)
#       long - longitude (float)
#       city_name - the name of the city (string)
#
# c ^ cloud_index ^ cloud_name
#       (cloud)
#       cloud_index - unque index for each cloud (int)
#       cloud_name - name of the cloud (string)
#
# I ^ isp_index ^ isp2type ^ isp_name
#       (I isp with link data add to list)
#       (i isp without link data do not add to list)
#       isp_index - unque index for each isp (int)
#       isp_name - the name of the isp (string)
#       type - R or I (research or Indusrty)
#
# E ^ isp_name
#       (end of isp
#       marks the end of a isp
#
# P ^ city_index1 ^ city_index2 ^ bandwidth
#       (pipe)
#       city_index1 - the index of the to city (int)
#       city_index2 - the index of the from city (int)
#       bandwidth - bandwidth of the connection (float)
#
# L ^ cloud_index ^ city_index ^ bandwidth
#       (link)
#       cloud- the index of the to cloud (int)
#       city_index - the index of the to city (int)
#       bandwidth - bandwidth of the connection (float)
#
# p ^ node_index ^ isp_index ^ isp_index
#       (peer)
#       node_index - where
T ^ 495
t ^ 4
R ^ 113
C ^ 139 ^ -27.350 ^ 152.430 ^ esk, *, australia
C ^ 140 ^ 44.052222222222219727 ^ -123.08555555555554406 ^ eugene, or, us
C ^ 141 ^ 47.99 ^ -122.20 ^ everett, wa, us
C ^ 142 ^ 64.837777777777773736 ^ -147.71638888888887209 ^ fairbanks, ak, us
C ^ 143 ^ 38.846111111111113701 ^ -77.306666666666657761 ^ fairfax, va, us
C ^ 144 ^ 37.38 ^ -122.08 ^ fix west, ca, us
C ^ 145 ^ -27.5 ^ -48.5 ^ florianopolis, *, brazil
C ^ 146 ^ 38.70971 ^ -077.14698 ^ fort belvoir, va, us
C ^ 147 ^ 26.121944444444444855 ^ -80.143611111111113132 ^ fort lauderdale, fl, us
C ^ 148 ^ 32.75390 ^ -97.33624 ^ fort worth, tx, us
C ^ 149 ^ -3.75 ^ -38.58 ^ fortaleza, *, brazil
C ^ 150 ^ 42.30 ^ -71.43 ^ framingham, *, us
C ^ 151 ^ 50.117 ^ 8.667 ^ frankfurt, *, germany
C ^ 152 ^ 39.43 ^ -77.41 ^ frederick, md, us
C ^ 153 ^ 38.30 ^ -77.48 ^ fredericksburg, va, us
C ^ 154 ^ 37.56 ^ -122.00 ^ fremont, ca, us
C ^ 155 ^ 36.74777777777777743 ^ -119.77138888888889312 ^ fresno, ca, us
C ^ 156 ^ 33.65 ^ 130.35 ^ fukuoka, *, japan
C ^ 157 ^ 29.651388888888888573 ^ -82.325000000000002842 ^ gainesville, fl, us
C ^ 158 ^ 33.89 ^ -118.30 ^ gardena, ca, us
C ^ 159 ^ -38.166 ^ 144.366 ^ geelong, *, australia
C ^ 160 ^ 46.23330 ^ 6.06670 ^ geneva, *, switzerland
C ^ 161 ^ -16.72 ^ -49.30 ^ goiania, *, brazil
C ^ 162 ^ -29.575 ^ 152.85 ^ grafton, *, australia
C ^ 163 ^ 39.08 ^ -108.55 ^ grand junction, co, us
C ^ 164 ^ 42.97 ^ -85.65 ^ grand rapids, *, us
C ^ 165 ^ 44.50 ^ -87.98 ^ green bay, wi, us
C ^ 166 ^ 36.072500000000005116 ^ -79.792222222222221717 ^ greensboro, nc, us
C ^ 167 ^ 40.88930 ^ -74.04611 ^ hackensack, nj, us
C ^ 168 ^ 44.65 ^ -63.6 ^ halifax, *, canada
C ^ 169 ^ 43.25 ^ -79.85 ^ hamilton, *, canada
C ^ 170 ^ 40.273611111111108585 ^ -76.884722222222222854 ^ harrisburg, pa, us
C ^ 171 ^ 41.75 ^ -72.68 ^ hartford, ct, us
C ^ 172 ^ 20.75 ^ -156.5 ^ hawaii, hi, us
C ^ 173 ^ 37.67 ^ -122.1 ^ hayward, ca, us
C ^ 174 ^ 60.16660 ^ 24.88330 ^ helsinki, *, finland
C ^ 175 ^ 51.20 ^ 6.93 ^ hilden, *, germany
C ^ 176 ^ -42.833 ^ 147.35 ^ hobart, *, australia
C ^ 177 ^ 40.39 ^ -74.17 ^ holmdel, nj, us
C ^ 178 ^ 22.1833 ^ 114.2333 ^ hong kong, *, china
C ^ 179 ^ 22.25 ^ 114.17 ^ hong kong, *, hk
C ^ 180 ^ 21.306944444444443576 ^ -157.85833333333332007 ^ honolulu, hi, us
C ^ 181 ^ 29.763055555555556708 ^ -95.363055555555547471 ^ houston, tx, us
C ^ 182 ^ 45.43 ^ -75.75 ^ hull, *, canada
C ^ 183 ^ 38.96944444444444855 ^ -77.386388888888902216 ^ hunter woods, va, us
C ^ 184 ^ 43.466666666666668561 ^ -112.03333333333333144 ^ idaho falls, id, us
C ^ 185 ^ 37.23 ^ -95.72 ^ independence, ks, us
C ^ 186 ^ 39.77640 ^ -86.14619 ^ indianapolis, in, us
C ^ 187 ^ 33.669444444444444287 ^ -117.82222222222222285 ^ irvine, ca, us
C ^ 188 ^ 30.83 ^ -91.21 ^ jackson, la, us
C ^ 189 ^ 32.32050 ^ -90.20759 ^ jackson, ms, us
